date,France,Italie,Allemagne,Autriche,Autres pays
2002-07-01,85344,36546,33790,6774,0
2002-10-01,86511,36443,33739,6636,0
2003-01-01,88102,36957,33644,6574,0
2003-04-01,89381,37303,33751,6530,0
2003-07-01,90419,37683,34045,6464,0
2003-10-01,90969,37214,33934,6340,0
2004-01-01,91680,37811,34240,6358,0
2004-04-01,94886,39047,35259,6488,0
2004-07-01,94543,38693,34205,6147,0
2004-10-01,95410,38424,33952,5997,0
2005-01-01,96661,39132,34284,5981,0
2005-04-01,97205,39307,34135,5877,0
2005-07-01,96998,38804,33849,5677,0
2005-10-01,98956,38646,34497,5668,0
2006-01-01,100821,39222,34779,5713,0
2006-04-01,102710,40798,35795,5871,0
2006-07-01,105784,41874,37283,6076,0
2006-10-01,108074,41986,37922,6202,0
2007-01-01,110183,43144,39087,6309,0
2007-04-01,113076,44621,40086,6393,0
2007-07-01,114082,45603,41174,6504,0
2007-10-01,115394,45394,41062,6467,0
2008-01-01,116784,46971,41624,6640,0
2008-04-01,118867,47998,42689,6738,0
2008-07-01,119685,47904,42753,6670,0
2008-10-01,118659,48698,42359,6587,62
2009-01-01,119266,49213,42866,6537,66
2009-04-01,120045,50375,43934,6608,77
2009-07-01,119046,50533,44260,6516,100
2009-10-01,120146,50270,44539,6489,109
2010-01-01,121419,51246,45854,6641,132
2010-04-01,124004,52936,47136,6852,165
2010-07-01,125204,53356,47484,6885,183
2010-10-01,126475,54e3,46895,6844,182
2011-01-01,129025,54933,47389,7037,198
2011-04-01,132104,56966,48418,7249,231
2011-07-01,134904,58137,49619,7347,263
2011-10-01,136311,57723,49951,7374,300
2012-01-01,139050,58895,50664,7473,328
2012-04-01,141064,60533,51659,7333,694
2012-07-01,142813,62584,52470,7412,753
2012-10-01,145279,61799,52492,7389,799
2013-01-01,146269,61809,52818,7367,833
2013-04-01,150125,65498,53943,7466,884
2013-07-01,151794,66822,54912,7574,1013
2013-10-01,152261,66008,54974,7508,1156
2014-01-01,153996,66567,55417,7573,1223
2014-04-01,155529,68850,55992,7660,1295
2014-07-01,156606,69638,56933,7725,1362
2014-10-01,159837,69503,57568,7810,1468
2015-01-01,160831,69674,58319,7866,1516
2015-04-01,163459,69615,58637,7892,1645
2015-07-01,164699,69744,59414,7978,1727
2015-10-01,167881,69557,59920,8026,1759
2016-01-01,169524,69549,60324,8083,1812
2016-04-01,170988,69505,60743,8135,1870
2016-07-01,172900,69774,61308,8170,1957
2016-10-01,174846,71873,61540,8210,2014
2017-01-01,173531,72280,61731,8259,2020
2017-04-01,176371,73262,61963,8285,2147
